name,affiliation
Abedelaziz Mohaisen,University of Central Florida
Abhi Shelat,Northeastern University
Abhijeet Ghosh,Imperial College London
Abhijit Das,IIT Kharagpur
Abhik Roychoudhury,National University of Singapore
Abhinav Dhall,IIT Ropar
Abhinav Gupta,Carnegie Mellon University
Abhinav Shrivastava,University of Maryland - College Park
Abhiram G. Ranade,IIT Bombay
Abhiram Ranade,IIT Bombay
Abhishek Bhattacharjee,Yale University
Abhishek Chandra,University of Minnesota
Abhishek Jain 0002,Johns Hopkins University
Abhishek Mishra,BITS Pilani
Abhishek Sarkar,IIIT Hyderabad
Abhishek Srivastava,IIT Indore
Abhradeep Guha Thakurta,University of California - Santa Cruz
Abhradeep Thakurta,University of California - Santa Cruz
Abilio Lucena,UFRJ
Abolfazl Razi,Northern Arizona University
Abolfazl S. Motahari,Sharif University of Technology
Abolfazl Seyed Motahari,Sharif University of Technology
Abraham Bernstein,University of Zurich
Abraham Duarte,Universidad Rey Juan Carlos
Abraham Silberschatz,Yale University
Abram Hindle,University of Alberta
Abtin Rahimian,University of Colorado Boulder
Abusayeed Saifullah,Wayne State University
Abyayananda Maiti,IIT Patna
Achille Pattavina,Politecnico di Milano
Achim Blumensath,Masaryk University
Achutavarrier Prasad Vinod,Nanyang Technological University
Ada Gavrilovska,Georgia Institute of Technology
Ada Wai-Chee Fu,Chinese University of Hong Kong
Adalberto L. Simeone,KU Leuven
Adalberto Lafcadio Simeone,KU Leuven
Adam A. Porter,University of Maryland - College Park
Adam Bates,Univ. of Illinois at Urbana-Champaign
Adam Belay,Massachusetts Institute of Technology
Adam Chlipala,Massachusetts Institute of Technology
Adam Czajka,University of Notre Dame
Adam D. Smith,Boston University
Adam Doupé,Arizona State University
Adam Finkelstein,Princeton University
Adam Hahn,Washington State University
Adam J. Lee,University of Pittsburgh
Adam Klivans,University of Texas at Austin
Adam Krzyzak,Concordia University
Adam Lopez,University of Edinburgh
Adam M. Bates,Univ. of Illinois at Urbana-Champaign
Adam M. Smith,University of California - Santa Cruz
Adam Morrison 0001,Tel Aviv University
Adam O'Neill,Georgetown University
Adam R. Klivans,University of Texas at Austin
Adam W. Bargteil,Univ. of Maryland - Baltimore County
Adam Wierman,California Institute of Technology
Adam Wolisz,TU Berlin
Adams Wai-Kin Kong,Nanyang Technological University
Adarsh S. Sethi,University of Delaware
Adarshpal S. Sethi,University of Delaware
Adel Cherif,Qatar University
Adele A. Rescigno,University of Salerno
Adele Anna Rescigno,University of Salerno
Adenilso Simão,USP-ICMC
Adenilso da Silva Simão,USP-ICMC
Adilson Elias Xavier,UFRJ
Adish Singla,Max Planck Institute
Aditi Majumder,University of California - Irvine
Aditya Akella,University of Wisconsin - Madison
Aditya Bhaskara,University of Utah
Aditya G. Parameswaran,Univ. of Illinois at Urbana-Champaign
Aditya Kanade,IISc Bangalore
Aditya Nigam,IIT Mandi
Aditya P. Mathur,SUTD
Aditya Tatu,DAIICT
Aditya Thakur,University of California - Davis
Aditya V. Thakur,University of California - Davis
Adlen Ksentini,EURECOM
Adnan Darwiche,University of California - Los Angeles
Adnan Ozsoy,Hacettepe University
Adnan Yazici,Middle East Technical University
Adrian Hilton,University of Surrey
Adrian Lowe,Australian National University
Adrian Nistor,Florida State University
Adrian Perrig,ETH Zurich
Adrian R. Pearce,University of Melbourne
Adrian R. Vetta,McGill University
Adrian Sampson,Cornell University
Adrian Sandu,Virginia Tech
Adrian Segall,Technion
Adrian Vetta,McGill University
Adriana B. Compagnoni,Stevens Institute of Technology
Adriana Ferraro,University of Auckland
Adriana Iamnitchi,University of South Florida
Adriana Schulz,University of Washington
Adriano Alonso Veloso,UFMG
Adriano C. M. Pereira,UFMG
Adriano César Machado Pereira,UFMG
Adriano Velasque Werhli,FURG Federal University of Rio Grande
Adriano Veloso,UFMG
Adrien Basso-Blandin,Ecole Normale Superieure de Lyon
Adrienne Decker,Rochester Institute of Technology
Aduri Pavan,Iowa State University
Adwait Jog,College of William and Mary
Adwait Nadkarni,College of William and Mary
Agathoniki Trigoni,University of Oxford
Aggeliki Arapoyanni,University of Athens
Aggelos K. Katsaggelos,Northwestern University
Aggelos Kiayias,University of Edinburgh
Agma J. M. Traina,USP-ICMC
Agma Juci Machado Traina,USP-ICMC
Agnar Aamodt,Norwegian University of Science and Technology
Agnes Hui Chan,Northeastern University
Agustin Fernández,Polytechnic University of Catalonia
Agustín Gravano,University of Buenos Aires
Ah-Hwee Tan,Nanyang Technological University
Aharon Bar-Hillel,Ben-Gurion University of the Negev
Ahmad Alzahrani,King Abdulaziz University
Ahmad R. Dhaini,American University of Beirut
Ahmad Sharieh,University of Jordan
Ahmad-Reza Sadeghi,TU Darmstadt
Ahmed Abdelali,Qatar Computing Research Institute
Ahmed Abu-Hajar,Washington State University
Ahmed Ali,Qatar Computing Research Institute
Ahmed Awad,University of Tartu
Ahmed E. Hassan,Queen’s University
Ahmed El-Roby,Carleton University
Ahmed Eldawy,University of California - Riverside
Ahmed Helmy,University of Florida
Ahmed K. Elmagarmid,Purdue University
Ahmed Karmouch,University of Ottawa
Ahmed M. Elgammal,Rutgers University
Ahmed Sameh,Purdue University
Ahmet Burak Can,Hacettepe University
Ahmet Cüneyd Tantug,Istanbul Technical University
Ahmet Erdem Sariyüce,University at Buffalo
Ahmet Oguz Akyüz,Middle East Technical University
Ahti Peder,University of Tartu
Ai-Chun Pang,National Taiwan University
Aidan Hogan,Universidad de Chile
Aidong Zhang,University of Virginia
Aiiad Albeshri,King Abdulaziz University
Aiichiro Nakano,University of Southern California
Aijun An,York University
Ailamaki Natassa,EPFL
Aiman Erbad,Qatar University
Aiman Hanna,Concordia University
Aimin Hao,Beihang University
Aisling Kelliher,Virginia Tech
Aiswarya Cyriac,CMI
Aivar Annamaa,University of Tartu
Aixia Jia,Peking University
Aixin Sun,Nanyang Technological University
Ajai Jain,IIT Kanpur
Ajay D. Kshemkalyani,University of Illinois at Chicago
Ajay Kapur,Victoria University of Wellington
Ajit A. Diwan,IIT Bombay
Ajit Arvind Diwan,IIT Bombay
Ajit Pal,IIT Kharagpur
Ajit Rajwade,IIT Bombay
Ajitha Rajan,University of Edinburgh
Akane Sano,Rice University
Akash Kumar 0001,TU Dresden
Aki Vehtari,Aalto University
Akihiko Takano,University of Tokyo
Akihiro Sato,Kyoto University
Akihiro Yamamoto,Kyoto University
Akiko Aizawa,University of Tokyo
Akiko N. Aizawa,University of Tokyo
Akiko Nakahara,University of Tokyo
Akira Kawaguchi,CUNY
Akshat Kumar,Singapore Management University
Al Biles,Rochester Institute of Technology
Al Davis,University of Utah
Alain Darte,Ecole Normale Superieure de Lyon
Alain Finkel,Ecole Normale Superieure de Cachan
Alain J. Martin,California Institute of Technology
Alain Tapp,University of Montreal
Alain Trémeau,Université Jean Monnet
Alain Wegmann,EPFL
Alan Blackwell,University of Cambridge
Alan Blair,UNSW
Alan Borning,University of Washington
Alan Bundy,University of Edinburgh
Alan C. H. Ling,University of Vermont
Alan C. Wright,Massey University
Alan Chi Hung Ling,University of Vermont
Alan Christopher Williams,University of Edinburgh
Alan Cline,University of Texas at Austin
Alan D. Blair,UNSW
Alan David Fekete,University of Sydney
Alan Dorin,Monash University
Alan F. Blackwell,University of Cambridge
Alan Fekete,University of Sydney
Alan Fern,Oregon State University
Alan H. Barr,California Institute of Technology
Alan Hanjalic,TU Delft
Alan Hayes,University of Bath
Alan J. Hu,University of British Columbia
Alan K. Mackworth,University of British Columbia
Alan Kaminsky,Rochester Institute of Technology
Alan L. Bundy,University of Edinburgh
Alan L. Cox,Rice University
Alan L. Davis,University of Utah
Alan L. Yuille,Johns Hopkins University
Alan M. Durham,USP
Alan M. Moses,University of Toronto
Alan Mislove,Northeastern University
Alan Mitchell Durham,USP
Alan Mycroft,University of Cambridge
Alan Paul Fern,Oregon State University
Alan Richard Bundy,University of Edinburgh
Alan Ritter,Ohio State University
Alan Ross Anderson,University of Cambridge
Alan S. Willsky,Massachusetts Institute of Technology
Alan Smaill,University of Edinburgh
Alan Sussman,University of Maryland - College Park
Alan T. Sherman,Univ. of Maryland - Baltimore County
Alan W. Black,Carnegie Mellon University
Alan Wagner,University of British Columbia
Alan Wang,Oregon State University
Alan Wassyng,McMaster University
Alanson P. Sample,University of Michigan
Alastair R. Beresford,University of Cambridge
Alba C. M. A. Melo,Universidade de Brasília
Alba Cristina Magalhaes Alves de Melo,Universidade de Brasília
Alba de Melo,Universidade de Brasília
Alban Ponse,VU Amsterdam
Albert Ali Salah,Boğaziçi University
Albert C. S. Chung,HKUST
Albert Cabellos,Polytechnic University of Catalonia
Albert Cabellos-Aparicio,Polytechnic University of Catalonia
Albert Cohen 0001,Ecole Normale Superieure
Albert Levi,Sabancı University
Albert M. K. Cheng,University of Houston
Albert Mo Kim Cheng,University of Houston
Albert R. Meyer,Massachusetts Institute of Technology
Albert Y. Zomaya,University of Sydney
Albert-László Barabási,Northeastern University
Alberto Abad,Universidade de Lisboa
Alberto Bacchelli,University of Zurich
Alberto Barbosa Raposo,PUC-RIO
Alberto Barrón-Cedeño,Qatar Computing Research Institute
Alberto Cano 0001,Virginia Commonwealth University
Alberto Cano Rojas,Virginia Commonwealth University
Alberto Del Pia,University of Wisconsin - Madison
Alberto E. Schaeffer Filho,UFRGS
Alberto Egon Schaeffer Filho,UFRGS
Alberto H. F. Laender,UFMG
Alberto L. Sangiovanni-Vincentelli,University of California - Berkeley
Alberto Manuel Rodrigues da Silva,Universidade de Lisboa
Alberto Maria Segre,University of Iowa
Alberto Negro,University of Salerno
Alberto Postiglione,University of Salerno
Alberto Quattrini Li,Dartmouth College
Alberto Raposo,PUC-RIO
Alberto Rodrigues da Silva,Universidade de Lisboa
Alberto Ros,University of Murcia
Albrecht Jander,Oregon State University
Albrecht Schmidt 0001,LMU Munich
Alcione P. Oliveira,Universidade Federal de Viçosa
Alcione de Paiva Oliveira,Universidade Federal de Viçosa
Aldeida Aleti,Monash University
Aldo A. Faisal,Imperial College London
Aldo Faisal,Imperial College London
Alec Jacobson,University of Toronto
Alejandro Hevia,Universidad de Chile
Alejandro Martínez-Ríos,University of Buenos Aires
Alejandro P. Buchmann,TU Darmstadt
Aleksandar D. Rakic,University of Queensland
Aleksandar Ignjatovic,UNSW
Aleksandar Ilic,Universidade de Lisboa
Aleksandar Kuzmanovic,Northwestern University
Aleksandar Nanevski,IMDEA Software Institute
Aleksandar Nikolov,University of Toronto
Aleksander Madry,Massachusetts Institute of Technology
Aleksandra Korolova,University of Southern California
Aleksy Schubert,University of Warsaw
Ales Horák,Masaryk University
Alessandra Cavarra,University of Oxford
Alessandra Gorla,IMDEA Software Institute
Alessandra Russo,Imperial College London
Alessandra Scafuro,North Carolina State University
Alessandro Abate,University of Oxford
Alessandro Acquisti,Carnegie Mellon University
Alessandro Barenghi,Politecnico di Milano
Alessandro Bozzon,TU Delft
Alessandro Bruni,IT University of Copenhagen
Alessandro Campi,Politecnico di Milano
Alessandro Chiesa,University of California - Berkeley
Alessandro E. C. Redondi,Politecnico di Milano
Alessandro Enrico Cesare Redondi,Politecnico di Milano
Alessandro Enrico Redondi,Politecnico di Milano
Alessandro F. Garcia,PUC-RIO
Alessandro Fabricio Garcia,PUC-RIO
Alessandro Garcia,PUC-RIO
Alessandro L. Koerich,ETS Montreal
Alessandro Lameiras Koerich,ETS Montreal
Alessandro Margara,Politecnico di Milano
Alessandro Moschitti,Qatar Computing Research Institute
Alessandro Orso,Georgia Institute of Technology
Alessandro Redondi,Politecnico di Milano
Alessandro Salandrino,University of Kansas
Alessandro Veneziani,Emory University
Alessandro Vespignani,Northeastern University
Alessandro Vinciarelli,University of Glasgow
Alessio Gaspar,University of South Florida
Alessio Guglielmi,University of Bath
Alessio Lomuscio,Imperial College London
Alessio Micheli,University of Pisa
Alessio R. Lomuscio,Imperial College London
Alex Aiken,Stanford University
Alex Alves Freitas,University of Kent
Alex Biryukov,University of Luxembourg
Alex Brodsky,Dalhousie University
Alex C. Snoeren,University of California - San Diego
Alex David Groce,Northern Arizona University
Alex Delis,University of Athens
Alex Endert,Georgia Institute of Technology
Alex Groce,Northern Arizona University
Alex Huth,University of Texas at Austin
Alex Kirlik,Univ. of Illinois at Urbana-Champaign
Alex Lascarides,University of Edinburgh
Alex Liu,Michigan State University
Alex Lopez-Lorca,University of Melbourne
Alex Mihailidis,University of Toronto
Alex Nicolau,University of California - Irvine
Alex Orailoglu,University of California - San Diego
Alex Pang,University of California - Santa Cruz
Alex Potanin,Victoria University of Wellington
Alex Pothen,Purdue University
Alex Rogers,University of Oxford
Alex Samorodnitsky,Hebrew University of Jerusalem
Alex Sandro Gomes,UFPE
Alex T. Pang,University of California - Santa Cruz
Alex Thomo,University of Victoria
Alex Waibel,Carnegie Mellon University
Alex Zelikovsky,Georgia State University
Alexander A. Razborov,University of Chicago
Alexander A. Sherstov,University of California - Los Angeles
Alexander Afanasyev,Florida International University
Alexander Aiken,Stanford University
Alexander Binder,SUTD
Alexander Borgida,Rutgers University
Alexander Brodsky 0001,George Mason University
Alexander Brodsky 0003,Dalhousie University
Alexander C. Berg,University of North Carolina
Alexander Endert,Georgia Institute of Technology
Alexander Ferworn,Ryerson University
Alexander G. Gray,Georgia Institute of Technology
Alexander G. Huth,University of Texas at Austin
Alexander G. Ororbia II,Rochester Institute of Technology
Alexander G. Schwing,Univ. of Illinois at Urbana-Champaign
Alexander Gerhard Schwing,Univ. of Illinois at Urbana-Champaign
Alexander H. Waibel,Carnegie Mellon University
Alexander Herzog,Clemson University
Alexander Huth,University of Texas at Austin
Alexander J. Hartemink,Duke University
Alexander Jung,Aalto University
Alexander Kain,OHSU
Alexander Kemper,TU Munich
Alexander Kotov,Wayne State University
Alexander L. Wolf,University of California - Santa Cruz
Alexander Lex,University of Utah
Alexander M. Bronstein,Technion
Alexander M. Rush,Harvard University
Alexander May 0001,Ruhr-University Bochum
Alexander Meschtscherjakov,University of Salzburg
Alexander Moshe Rabinovich,Tel Aviv University
Alexander Nelson,University of Arkansas
Alexander O. Brodsky,Dalhousie University
Alexander Ororbia,Rochester Institute of Technology
Alexander Pretschner,TU Munich
Alexander Pudmenzky,University of Queensland
Alexander Raake,TU Berlin
Alexander Rabinovich,Tel Aviv University
Alexander Rakhlin,University of Pennsylvania
Alexander Russell,University of Connecticut
Alexander S. Kotov,Wayne State University
Alexander Schill,TU Dresden
Alexander Schliep,Rutgers University
Alexander Schwarzmann,University of Connecticut
Alexander Serebrenik,TU Eindhoven
Alexander T. Ihler,University of California - Irvine
Alexander Tropsha,University of North Carolina
Alexander V. Veidenbaum,University of California - Irvine
Alexander Zelikovsky,Georgia State University
Alexandr Andoni,Columbia University
Alexandra Boldyreva,Georgia Institute of Technology
Alexandra Fedorova,University of British Columbia
Alexandra Kolla,Univ. of Illinois at Urbana-Champaign
Alexandra Meliou,University of Massachusetts Amherst
Alexandra Silva,University College London
Alexandre A. B. Lima,UFRJ
Alexandre Bergel,Universidad de Chile
Alexandre C. B. Delbem,USP-ICMC
Alexandre Cabral Mota,UFPE
Alexandre Cláudio Botazzo Delbem,USP-ICMC
Alexandre M. Amory,PUC-RS
Alexandre M. Bayen,University of California - Berkeley
Alexandre Marcos Lins de Vasconcelos,UFPE
Alexandre Megretski,Massachusetts Institute of Technology
Alexandre Mendes,Newcastle University
Alexandre Mota,UFPE
Alexandre P. Francisco,Universidade de Lisboa
Alexandre P. de Carvalho,UFF
Alexandre Paulo Francisco,Universidade de Lisboa
Alexandre Plastino,UFF
Alexandre Salles da Cunha,UFMG
Alexandre Vasconcelos,UFPE
Alexandre X. Falcão,UNICAMP
Alexandre Xavier Falcão,UNICAMP
Alexandre d'Aspremont,Ecole Normale Superieure
Alexandros Eleftheriadis,University of Athens
Alexandros G. Dimakis,University of Texas at Austin
Alexandros Kapravelos,North Carolina State University
Alexandros Labrinidis,University of Pittsburgh
Alexandros V. Gerbessiotis,NJIT
Alexandru Iosup,VU Amsterdam
Alexandru Nicolau,University of California - Irvine
Alexei A. Efros,University of California - Berkeley
Alexei Drummond,University of Auckland
Alexei J. Drummond,University of Auckland
Alexei Lisitsa,University of Liverpool
Alexei P. Lisitsa,University of Liverpool
Alexei Sourin,Nanyang Technological University
Alexey Gotsman,IMDEA Software Institute
Alexey Onufriev,Virginia Tech
Alexia Briassouli,Maastricht University
Alexis Battle,Johns Hopkins University
Alf Inge Wang,Norwegian University of Science and Technology
Alf Weaver,University of Virginia
Alfons Kemper,TU Munich
Alfonso Baños,University of Murcia
Alfonso Baños Torrico,University of Murcia
Alfonso Fuggetta,Politecnico di Milano
Alfred C. Weaver,University of Virginia
Alfred J. Menezes,University of Waterloo
Alfred Kobsa,University of California - Irvine
Alfred Krzywicki,UNSW
Alfred L. Brown,University of Adelaide
Alfred M. Bruckstein,Technion
Alfred Menezes,University of Waterloo
Alfred O. Hero III,University of Michigan
Alfred Olivier Hero,University of Michigan
Alfred V. Aho,Columbia University
Alfredo De Santis,University of Salerno
Alfredo Ferreira,Universidade de Lisboa
Alfredo Goldman,USP
Alfredo Goldman vel Lejbman,USP
Alfredo Weitzenfeld,University of South Florida
Alfredo Weitzenfeld Ridel,University of South Florida
Ali A. Ghorbani,University of New Brunswick
Ali A. Nazari Shirehjini,Sharif University of Technology
Ali Akbar Ghorbani,University of New Brunswick
Ali Asghar Nazari Shirehjini,Sharif University of Technology
Ali Borji,University of Central Florida
Ali Chehab,American University of Beirut
Ali Farhadi,University of Washington
Ali Ghodsi 0001,University of Waterloo
Ali Ghorbani,University of New Brunswick
Ali Ghrayeb,Texas A&M at Qatar
Ali Gökhan Yavuz,Yıldız Technical University
Ali H. Dogru,Middle East Technical University
Ali Hikmet Dogru,Middle East Technical University
Ali Jaoua,Qatar University
Ali Javey,University of California - Berkeley
Ali José Mashtizadeh,University of Waterloo
Ali M. Niknejad,University of California - Berkeley
Ali Mehrizi-Sani,Washington State University
Ali Mesbah 0001,University of British Columbia
Ali Mili,NJIT
Ali Miri,Ryerson University
Ali Mohammad Afshin Hemmatyar,Sharif University of Technology
Ali Movaghar,Sharif University of Technology
Ali Movaghar-Rahimabadi,Sharif University of Technology
Ali Niknejad,University of California - Berkeley
Ali Orooji,University of Central Florida
Ali Raza Butt,Virginia Tech
Ali Reza Ejlali,Sharif University of Technology
Ali Saberi,Washington State University
Ali Saman Tosun,University of Texas at San Antonio
Ali Shokoufandeh,Drexel University
Ali Taylan Cemgil,Boğaziçi University
Alice A. Miller,University of Glasgow
Alice H. Oh,KAIST
Alice Haeyun Oh,KAIST
Alice Miller,University of Glasgow
Alin Albu-Schäffer,TU Munich
Alin Deutsch,University of California - San Diego
Alin Dobra,University of Florida
Alin Olimpiu Albu-Schäffer,TU Munich
Alina Ene,Boston University
Alina Oprea,Northeastern University
Alina Sirbu,University of Pisa
Aline Villavicencio,UFRGS
Alireza Ejlali,Sharif University of Technology
Alireza Entezari,University of Florida
Alireza Sadeghian,Ryerson University
Alireza Tamaddoni Nezhad,University of Surrey
Alireza Tavakkoli,University of Nevada
Alison Hill,OHSU
Alison Pease,University of Dundee
Alistair Knott,University of Otago
Alistair Moffat,University of Melbourne
Alistair P. Rendell,Australian National University
Alistair Sinclair,University of California - Berkeley
Alla Sheffer,University of British Columbia
Allan Borodin,University of Toronto
Allan D. Jepson,University of Toronto
Allan Gottlieb,New York University
Allan Ramsay,University of Manchester
Allen D. Malony,University of Oregon
Allen R. Tannenbaum,Stony Brook University
Allen Van Gelder,University of California - Santa Cruz
Allison B. Lewko,Columbia University
Allison Bishop,Columbia University
Allison Bishop Lewko,Columbia University
Alneu de Andrade Lopes,USP-ICMC
Alois C. Knoll,TU Munich
Alois Knoll,TU Munich
Alok N. Choudhary,Northwestern University
Alon Efrat,University of Arizona
Alon Keinan,Cornell University
Alon Nilli,Tel Aviv University
Alona Fyshe,University of Alberta
Alonzo Kelly,Carnegie Mellon University
Aloysius K. Mok,University of Texas at Austin
Alper Sen 0001,Boğaziçi University
Alper Üngör,University of Florida
Alptekin Küpçü,Koç University
Alva L. Couch,Tufts University
Alvaro A. A. Fernandes,University of Manchester
Alvaro A. Cárdenas,University of Texas at Dallas
Alvaro Adolfo Antunes Fernandes,University of Manchester
Alvaro Cardenas,University of Texas at Dallas
Alvin Cheung,University of Washington
Alvin R. Lebeck,Duke University
Alvin S. Lim,Auburn University
Alvitta Ottley,Washington University in St. Louis
Alwen Fernanto Tiu,Nanyang Technological University
Alwen Tiu,Nanyang Technological University
Aly E. Fathy,University of Tennessee
Alyosha A. Efros,University of California - Berkeley
Alán Aspuru-Guzik,University of Toronto
Amal Ahmed,Northeastern University
Amal J. Ahmed,Northeastern University
Amali Weerasinghe,University of Adelaide
Aman Parnami,IIIT Delhi
Amanda Lazar,University of Maryland - College Park
Amarda Shehu,George Mason University
Amarjeet Singh 0001,IIIT Delhi
Amaury Habrard,Université Jean Monnet
Ambedkar Dukkipati,IISc Bangalore
Ambuj K. Singh,University of California - Santa Barbara
Ameet Talwalkar,Carnegie Mellon University
Amelia C. Regan,University of California - Irvine
Amelia G. Nobile,University of Salerno
Amelia Regan,University of California - Irvine
Amey Karkare,IIT Kanpur
Ami Wiesel,Hebrew University of Jerusalem
Amiangshu Bosu,Wayne State University
Amihai Motro,George Mason University
Amihood Amir,Bar-Ilan University
Amin Alipour,University of Houston
Amin Karbasi,Yale University
Amin M. Abbosh,University of Queensland
Amin Shokrollahi,EPFL
Amin Y. Noaman,King Abdulaziz University
Amir Ali Ahmadi,Princeton University
Amir Averbuch,Tel Aviv University
Amir Globerson,Tel Aviv University
Amir H. Chinaei,University of Toronto
Amir Herzberg,Bar-Ilan University
Amir Houman Sadr,University of Massachusetts Amherst
Amir Houmansadr,University of Massachusetts Amherst
Amir Nayyeri,Oregon State University
Amir Rahmati,Stony Brook University
Amir Salman Avestimehr,Cornell University
Amir Shpilka,Tel Aviv University
Amir-Hossein Jahangir,Sharif University of Technology
Amiram Yehudai,Tel Aviv University
Amit Awekar,IIT Guwahati
Amit Bermano,Tel Aviv University
Amit Chakrabarti,Dartmouth College
Amit Chattopadhyay,IIIT Bangalore
Amit Daniely,Hebrew University of Jerusalem
Amit Dua,BITS Pilani
Amit Dvir,Ariel University
Amit H. Bermano,Tel Aviv University
Amit Jain,Boise State University
Amit K. Roy-Chowdhury,University of California - Riverside
Amit Kumar 0001,IIT Delhi
Amit Sahai,University of California - Los Angeles
Amit Sengupta,DAIICT
Amit Zoran,Hebrew University of Jerusalem
Amitabh Varshney,University of Maryland - College Park
Amitabha Bagchi,IIT Delhi
Amitabha Mukerjee,IIT Kanpur
Amitabha Sanyal,IIT Bombay
Amitava Datta,University of Western Australia
Amiya Nayak,University of Ottawa
Amiya R. Nayak,University of Ottawa
Amjad Hudaib,University of Jordan
Amjed Tahir,Massey University
Amlan Ganguly,Rochester Institute of Technology
Ammar Huneiti,University of Jordan
Ammar Nayfeh,Masdar Institute
Amnir Hadachi,University of Tartu
Amnon Shashua,Hebrew University of Jerusalem
Amnon Ta-Shma,Tel Aviv University
Amol Deshpande,University of Maryland - College Park
Amos Azaria,Ariel University
Amos Fiat,Tel Aviv University
Amos J. Storkey,University of Edinburgh
Amos Ron,University of Wisconsin - Madison
Amotz Bar-Noy,CUNY
Amotz Barnoy,CUNY
Amr El Abbadi,University of California - Santa Barbara
Amr Magdy 0001,University of California - Riverside
Amr Magdy Ahmed,University of California - Riverside
Amr Mohamed,Qatar University
Amr Sabry,Indiana University
Amrita Chaturvedi,IIT (BHU) Varanasi
Amro Awad,University of Central Florida
Amy Bruckman,Georgia Institute of Technology
Amy Greenwald,Brown University
Amy Ogan,Carnegie Mellon University
Amy P. Felty,University of Ottawa
Amy S. Bruckman,Georgia Institute of Technology
Amy Voida,University of Colorado Boulder
Amy W. Apon,Clemson University
Amélie Marian,Rutgers University
An-I Andy Wang,Florida State University
An-I Wang,Florida State University
AnHai Doan,University of Wisconsin - Madison
Ana Busic,Ecole Normale Superieure
Ana C. V. de Melo,USP
Ana Claudia Arias,University of California - Berkeley
Ana Cristina Bicharra Garcia,UFF
Ana Cristina Vieira de Melo,USP
Ana L. C. Bazzan,UFRGS
Ana Lúcia C. Bazzan,UFRGS
Ana Lúcia Cetertich Bazzan,UFRGS
Ana Milanova,Rensselaer Polytechnic Institute
Ana Paiva,Universidade de Lisboa
Ana Paula Couto da Silva,UFMG
Ana Regina Cavalcanti da Rocha,UFRJ
Ana Regina Rocha,UFRJ
Ana Sokolova,University of Salzburg
Ana T. Freitas,Universidade de Lisboa
Ana Teresa Freitas,Universidade de Lisboa
Anamika Dubey,Washington State University
Anand Bhojan,National University of Singapore
Anand Louis,IISc Bangalore
Anand R. Tripathi,University of Minnesota
